Complaint ID,Category,Sub Category,Grievance Date,Ward Name,Grievance Status,Staff Remarks,Staff Name,clean_text
20771631,Electrical,Street Light Not Working,2025-06-19 09:17:00.000000000,Hosahalli,Registered,1st Assignment Based on Ward Mapping,MURTHY/AE,street light working
20771630,Electrical,Street Light Not Working,2025-06-19 09:17:00.000000000,Newthippasandra,Registered,1st Assignment Based on Ward Mapping,Durga Prasad/AE,street light working
20771629,Electrical,Street Light Not Working,2025-06-19 09:16:00.000000000,Uttarahalli,Registered,1st Assignment Based on Ward Mapping,Ramesh/JE,street light working
20771628,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 09:16:00.000000000,Horamavu,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 25/Marshal,garbage dump
20771627,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 09:16:00.000000000,Byatarayanapura,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 07/Marshal,garbage dump
20771626,Electrical,Street Light Not Working,2025-06-19 09:15:00.000000000,Jnanabharathi Ward,Registered,1st Assignment Based on Ward Mapping,sangamesh hadaginal/JE,street light working
20771625,veterinary,Fatally injured - Needs immediate attention,2025-06-19 09:15:00.000000000,Koramangala,Registered,1st Assignment Based on Ward Mapping,SURESH/VI,fatally injured need immediate attention
20771624,Electrical,Street Light Not Working,2025-06-19 09:15:00.000000000,Mahalakshmipuram,Registered,1st Assignment Based on Ward Mapping,Jameel/AE,street light working
20771623,Electrical,Street Light Not Working,2025-06-19 09:15:00.000000000,Hagadooru,Registered,1st Assignment Based on Ward Mapping,Sachin Malagi/AE,street light working
20771622,Solid Waste (Garbage) Related,Garbage transfer not as per norms & area not kept clean,2025-06-19 09:15:00.000000000,Thanisandra,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 06/Marshal,garbage transfer per norm area kept clean
20771621,Road Maintenance(Engg),Road side drains,2025-06-19 09:14:00.000000000,Bommanahalli,Registered,1st Assignment Based on Ward Mapping,K P Umesh/AE,road side drain
20771620,Solid Waste (Garbage) Related,Garbage dumping in vacant sites,2025-06-19 09:12:00.000000000,Someshwara,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 03/Marshal,garbage dumping vacant site
20771619,Electrical,Street Light Not Working,2025-06-19 09:11:00.000000000,Doddanekkundi,Registered,1st Assignment Based on Ward Mapping,Sachin Malagi/AE,street light working
20771618,Electrical,Street Light Not Working,2025-06-19 09:10:00.000000000,Kempegowda Ward,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE,street light working
20771617,Electrical,Street Light Not Working,2025-06-19 09:06:00.000000000,Byatarayanapura,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE,street light working
20771616,Electrical,Street Light Not Working,2025-06-19 09:06:00.000000000,Hemmigepura,Registered,1st Assignment Based on Ward Mapping,sangamesh hadaginal/JE,street light working
20771615,Solid Waste (Garbage) Related,Garbage vehicle not arrived,2025-06-19 09:05:00.000000000,Banashankari Temple Ward,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 180/Marshal,garbage vehicle arrived
20771614,Electrical,Street Light Not Working,2025-06-19 09:05:00.000000000,Jnanabharathi Ward,Registered,1st Assignment Based on Ward Mapping,sangamesh hadaginal/JE,street light working
20771613,Electrical,Street Light Not Working,2025-06-19 09:05:00.000000000,Subedarapalya,Registered,1st Assignment Based on Ward Mapping,Anand/JE,street light working
20771612,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 09:03:00.000000000,Horamavu,Closed,Clear sir today morning,Marshal Ward No 25/Marshal,garbage dump
20771611,Electrical,Street Light Not Working,2025-06-19 09:03:00.000000000,Vidyaranyapura,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE,street light working
20771610,Electrical,Street Light Not Working,2025-06-19 09:02:00.000000000,Byatarayanapura,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE,street light working
20771609,Electrical,Street Light Not Working,2025-06-19 09:01:00.000000000,Uttarahalli,Registered,1st Assignment Based on Ward Mapping,Ramesh/JE,street light working
20771608,Electrical,Street Light Not Working,2025-06-19 09:01:00.000000000,Thanisandra,Registered,1st Assignment Based on Ward Mapping,yeahanka JE Electrical/JE,street light working
20771607,Solid Waste (Garbage) Related,Garbage dump,2025-06-19 09:01:00.000000000,Horamavu,Registered,1st Assignment Based on Ward Mapping,Marshal Ward No 25/Marshal,garbage dump
20771606,Electrical,Street Light Not Working,2025-06-19 09:00:00.000000000,Shakthiganapathi Nagar,Registered,1st Assignment Based on Ward Mapping,Jameel/AE,street light working
20771605,Electrical,Street Light Not Working,2025-06-19 09:00:00.000000000,Jnanabharathi Ward,Registered,1st Assignment Based on Ward Mapping,sangamesh hadaginal/JE,street light working
